message_id,channel_name,image_path,detected_objects,image_category,object_count
10,CheMed123,data\raw\images\CheMed123\10.jpg,none,other,0
11,CheMed123,data\raw\images\CheMed123\11.jpg,clock:0.43,product_display,1
13,CheMed123,data\raw\images\CheMed123\13.jpg,"hot dog:0.50, donut:0.40, hot dog:0.31, donut:0.30, hot dog:0.26, hot dog:0.25",other,6
14,CheMed123,data\raw\images\CheMed123\14.jpg,none,other,0
15,CheMed123,data\raw\images\CheMed123\15.jpg,none,other,0
17,CheMed123,data\raw\images\CheMed123\17.jpg,"bottle:0.53, bottle:0.49, bottle:0.43, bottle:0.39, bottle:0.38, bottle:0.38, bottle:0.37, bottle:0.33, bottle:0.28, bottle:0.28, bottle:0.27",product_display,11
18,CheMed123,data\raw\images\CheMed123\18.jpg,none,other,0
19,CheMed123,data\raw\images\CheMed123\19.jpg,"person:0.94, person:0.93, dining table:0.36, dining table:0.32",lifestyle,4
2,CheMed123,data\raw\images\CheMed123\2.jpg,bottle:0.39,product_display,1
20,CheMed123,data\raw\images\CheMed123\20.jpg,"person:0.94, person:0.93, dining table:0.36, dining table:0.32",lifestyle,4
21,CheMed123,data\raw\images\CheMed123\21.jpg,bird:0.25,other,1
22,CheMed123,data\raw\images\CheMed123\22.jpg,stop sign:0.28,other,1
23,CheMed123,data\raw\images\CheMed123\23.jpg,cell phone:0.61,other,1
25,CheMed123,data\raw\images\CheMed123\25.jpg,"cell phone:0.86, person:0.63",lifestyle,2
26,CheMed123,data\raw\images\CheMed123\26.jpg,"person:0.83, cup:0.43, book:0.32, book:0.31",promotional,4
27,CheMed123,data\raw\images\CheMed123\27.jpg,none,other,0
29,CheMed123,data\raw\images\CheMed123\29.jpg,"person:0.62, surfboard:0.59, person:0.53, person:0.28",lifestyle,4
3,CheMed123,data\raw\images\CheMed123\3.jpg,none,other,0
30,CheMed123,data\raw\images\CheMed123\30.jpg,person:0.41,lifestyle,1
31,CheMed123,data\raw\images\CheMed123\31.jpg,"bottle:0.51, bottle:0.50, bottle:0.43, bottle:0.39, bottle:0.39, bottle:0.38, bottle:0.38, bottle:0.33, bottle:0.28, bottle:0.28, bottle:0.27",product_display,11
32,CheMed123,data\raw\images\CheMed123\32.jpg,person:0.59,lifestyle,1
33,CheMed123,data\raw\images\CheMed123\33.jpg,"orange:0.67, orange:0.58, book:0.27",other,3
34,CheMed123,data\raw\images\CheMed123\34.jpg,none,other,0
38,CheMed123,data\raw\images\CheMed123\38.jpg,none,other,0
39,CheMed123,data\raw\images\CheMed123\39.jpg,"mouse:0.91, mouse:0.90, mouse:0.89, mouse:0.62, mouse:0.59, mouse:0.55, mouse:0.53, mouse:0.41",other,8
40,CheMed123,data\raw\images\CheMed123\40.jpg,"person:0.72, person:0.67, person:0.63, person:0.60, person:0.59, person:0.51, person:0.45, person:0.44, person:0.33, person:0.33",lifestyle,10
41,CheMed123,data\raw\images\CheMed123\41.jpg,person:0.42,lifestyle,1
43,CheMed123,data\raw\images\CheMed123\43.jpg,"person:0.86, chair:0.29",lifestyle,2
44,CheMed123,data\raw\images\CheMed123\44.jpg,"cell phone:0.94, person:0.85",lifestyle,2
45,CheMed123,data\raw\images\CheMed123\45.jpg,scissors:0.63,product_display,1
46,CheMed123,data\raw\images\CheMed123\46.jpg,"person:0.83, person:0.47, tv:0.39",lifestyle,3
48,CheMed123,data\raw\images\CheMed123\48.jpg,none,other,0
49,CheMed123,data\raw\images\CheMed123\49.jpg,"kite:0.68, kite:0.40, kite:0.34, frisbee:0.33",other,4
50,CheMed123,data\raw\images\CheMed123\50.jpg,cake:0.29,other,1
52,CheMed123,data\raw\images\CheMed123\52.jpg,"person:0.70, person:0.65, horse:0.63, person:0.51, person:0.43, person:0.33",lifestyle,6
53,CheMed123,data\raw\images\CheMed123\53.jpg,person:0.57,lifestyle,1
55,CheMed123,data\raw\images\CheMed123\55.jpg,stop sign:0.31,other,1
56,CheMed123,data\raw\images\CheMed123\56.jpg,person:0.83,lifestyle,1
58,CheMed123,data\raw\images\CheMed123\58.jpg,bottle:0.41,product_display,1
59,CheMed123,data\raw\images\CheMed123\59.jpg,bottle:0.29,product_display,1
60,CheMed123,data\raw\images\CheMed123\60.jpg,none,other,0
64,CheMed123,data\raw\images\CheMed123\64.jpg,"person:0.69, person:0.44, banana:0.28, remote:0.26",lifestyle,4
67,CheMed123,data\raw\images\CheMed123\67.jpg,"stop sign:0.58, book:0.28",other,2
70,CheMed123,data\raw\images\CheMed123\70.jpg,"potted plant:0.92, person:0.84, book:0.42",lifestyle,3
71,CheMed123,data\raw\images\CheMed123\71.jpg,"person:0.88, person:0.80",lifestyle,2
74,CheMed123,data\raw\images\CheMed123\74.jpg,none,other,0
75,CheMed123,data\raw\images\CheMed123\75.jpg,person:0.84,lifestyle,1
76,CheMed123,data\raw\images\CheMed123\76.jpg,"person:0.87, chair:0.27, chair:0.25",lifestyle,3
77,CheMed123,data\raw\images\CheMed123\77.jpg,"bottle:0.96, bottle:0.91, bottle:0.90, bottle:0.89",product_display,4
78,CheMed123,data\raw\images\CheMed123\78.jpg,"person:0.77, person:0.36",lifestyle,2
79,CheMed123,data\raw\images\CheMed123\79.jpg,none,other,0
80,CheMed123,data\raw\images\CheMed123\80.jpg,"person:0.93, bottle:0.74, chair:0.56",promotional,3
81,CheMed123,data\raw\images\CheMed123\81.jpg,"bottle:0.88, bottle:0.83, bottle:0.82, bottle:0.80, bottle:0.76",product_display,5
82,CheMed123,data\raw\images\CheMed123\82.jpg,"bottle:0.90, bottle:0.84, bottle:0.74, apple:0.48",product_display,4
85,CheMed123,data\raw\images\CheMed123\85.jpg,none,other,0
86,CheMed123,data\raw\images\CheMed123\86.jpg,"person:0.90, refrigerator:0.36",lifestyle,2
87,CheMed123,data\raw\images\CheMed123\87.jpg,parking meter:0.28,other,1
88,CheMed123,data\raw\images\CheMed123\88.jpg,none,other,0
9,CheMed123,data\raw\images\CheMed123\9.jpg,bottle:0.39,product_display,1
90,CheMed123,data\raw\images\CheMed123\90.jpg,book:0.31,other,1
91,CheMed123,data\raw\images\CheMed123\91.jpg,none,other,0
92,CheMed123,data\raw\images\CheMed123\92.jpg,none,other,0
93,CheMed123,data\raw\images\CheMed123\93.jpg,person:0.91,lifestyle,1
94,CheMed123,data\raw\images\CheMed123\94.jpg,"cup:0.74, person:0.48, cup:0.39",promotional,3
95,CheMed123,data\raw\images\CheMed123\95.jpg,"person:0.87, person:0.49",lifestyle,2
96,CheMed123,data\raw\images\CheMed123\96.jpg,cup:0.33,product_display,1
97,CheMed123,data\raw\images\CheMed123\97.jpg,none,other,0
26161,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26161.jpg,"bottle:0.34, bottle:0.30",product_display,2
26162,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26162.jpg,none,other,0
26163,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26163.jpg,"bottle:0.48, bottle:0.47, bottle:0.43, bottle:0.27",product_display,4
26164,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26164.jpg,"bottle:0.57, bottle:0.38, bottle:0.27, bottle:0.26, bottle:0.26",product_display,5
26165,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26165.jpg,none,other,0
26166,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26166.jpg,book:0.25,other,1
26167,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26167.jpg,"bottle:0.51, bottle:0.51, dining table:0.46, bottle:0.42, bottle:0.42, cup:0.37, bottle:0.34, bottle:0.33, bottle:0.32, bottle:0.31, bottle:0.30, bottle:0.29",product_display,12
26168,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26168.jpg,person:0.31,lifestyle,1
26169,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26169.jpg,none,other,0
26170,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26170.jpg,bottle:0.27,product_display,1
26171,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26171.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26172,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26172.jpg,none,other,0
26173,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26173.jpg,none,other,0
26174,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26174.jpg,"bottle:0.87, dining table:0.35, bottle:0.33, bottle:0.29",product_display,4
26175,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26175.jpg,"bottle:0.56, bottle:0.51, bottle:0.41, bottle:0.26",product_display,4
26176,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26176.jpg,book:0.25,other,1
26177,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26177.jpg,none,other,0
26178,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26178.jpg,"bottle:0.66, book:0.26",product_display,2
26179,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26179.jpg,none,other,0
26180,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26180.jpg,bottle:0.34,product_display,1
26181,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26181.jpg,bottle:0.52,product_display,1
26182,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26182.jpg,bottle:0.59,product_display,1
26183,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26183.jpg,bottle:0.74,product_display,1
26184,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26184.jpg,"bottle:0.93, person:0.79, person:0.67, orange:0.46, orange:0.37, person:0.35, orange:0.35",promotional,7
26185,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26185.jpg,none,other,0
26186,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26186.jpg,"person:0.89, person:0.76, person:0.52",lifestyle,3
26187,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26187.jpg,person:0.80,lifestyle,1
26188,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26188.jpg,"bottle:0.47, book:0.26",product_display,2
26189,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26189.jpg,"bottle:0.34, bottle:0.33, bottle:0.31, bottle:0.31, orange:0.28",product_display,5
26190,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26190.jpg,"bottle:0.34, bottle:0.30",product_display,2
26191,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26191.jpg,none,other,0
26192,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26192.jpg,none,other,0
26193,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26193.jpg,none,other,0
26194,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26194.jpg,"bottle:0.38, cell phone:0.34, bottle:0.30",product_display,3
26195,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26195.jpg,none,other,0
26196,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26196.jpg,none,other,0
26197,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26197.jpg,bottle:0.29,product_display,1
26198,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26198.jpg,"refrigerator:0.44, book:0.25",other,2
26199,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26199.jpg,book:0.35,other,1
26200,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26200.jpg,bottle:0.27,product_display,1
26201,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26201.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26202,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26202.jpg,none,other,0
26203,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26203.jpg,none,other,0
26204,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26204.jpg,none,other,0
26205,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26205.jpg,"bottle:0.51, bottle:0.51, dining table:0.46, bottle:0.42, bottle:0.42, cup:0.37, bottle:0.34, bottle:0.33, bottle:0.32, bottle:0.31, bottle:0.30, bottle:0.29",product_display,12
26206,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26206.jpg,person:0.31,lifestyle,1
26207,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26207.jpg,"person:0.89, person:0.76, person:0.52",lifestyle,3
26208,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26208.jpg,"person:0.70, person:0.62",lifestyle,2
26209,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26209.jpg,none,other,0
26210,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26210.jpg,bottle:0.61,product_display,1
26211,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26211.jpg,bottle:0.74,product_display,1
26212,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26212.jpg,"bottle:0.30, traffic light:0.30",product_display,2
26213,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26213.jpg,none,other,0
26214,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26214.jpg,"bottle:0.48, bottle:0.47, bottle:0.43, bottle:0.27",product_display,4
26215,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26215.jpg,"bottle:0.57, bottle:0.38, bottle:0.27, bottle:0.26, bottle:0.26",product_display,5
26216,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26216.jpg,bottle:0.81,product_display,1
26217,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26217.jpg,none,other,0
26218,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26218.jpg,none,other,0
26219,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26219.jpg,"bottle:0.66, book:0.26",product_display,2
26220,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26220.jpg,bottle:0.86,product_display,1
26221,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26221.jpg,none,other,0
26222,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26222.jpg,none,other,0
26223,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26223.jpg,none,other,0
26224,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26224.jpg,"bottle:0.56, bottle:0.51, bottle:0.41, bottle:0.26",product_display,4
26225,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26225.jpg,bottle:0.27,product_display,1
26226,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26226.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26227,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26227.jpg,none,other,0
26228,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26228.jpg,none,other,0
26229,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26229.jpg,none,other,0
26230,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26230.jpg,none,other,0
26231,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26231.jpg,none,other,0
26232,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26232.jpg,none,other,0
26233,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26233.jpg,book:0.25,other,1
26234,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26234.jpg,bottle:0.74,product_display,1
26235,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26235.jpg,"bottle:0.93, person:0.79, person:0.67, orange:0.46, orange:0.37, person:0.35, orange:0.35",promotional,7
26236,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26236.jpg,none,other,0
26237,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26237.jpg,"person:0.89, person:0.76, person:0.52",lifestyle,3
26238,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26238.jpg,person:0.80,lifestyle,1
26239,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26239.jpg,"bottle:0.30, traffic light:0.30",product_display,2
26240,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26240.jpg,"bottle:0.87, dining table:0.35, bottle:0.33, bottle:0.29",product_display,4
26241,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26241.jpg,"bottle:0.56, bottle:0.51, bottle:0.41, bottle:0.26",product_display,4
26242,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26242.jpg,none,other,0
26243,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26243.jpg,none,other,0
26244,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26244.jpg,none,other,0
26245,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26245.jpg,"bottle:0.38, cell phone:0.34, bottle:0.30",product_display,3
26246,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26246.jpg,none,other,0
26247,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26247.jpg,none,other,0
26248,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26248.jpg,bottle:0.29,product_display,1
26249,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26249.jpg,"refrigerator:0.44, book:0.25",other,2
26250,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26250.jpg,book:0.35,other,1
26251,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26251.jpg,bottle:0.33,product_display,1
26252,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26252.jpg,bottle:0.50,product_display,1
26253,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26253.jpg,"parking meter:0.37, bottle:0.37, bottle:0.29",product_display,3
26254,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26254.jpg,"bottle:0.79, bottle:0.56, bottle:0.38, bottle:0.37, bottle:0.36, bottle:0.34, bottle:0.30, bottle:0.30",product_display,8
26255,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26255.jpg,none,other,0
26256,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26256.jpg,"refrigerator:0.51, bottle:0.44, bottle:0.40, dining table:0.30, bottle:0.29, bottle:0.28, bottle:0.28, bottle:0.26",product_display,8
26257,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26257.jpg,bottle:0.86,product_display,1
26258,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26258.jpg,none,other,0
26259,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26259.jpg,bottle:0.27,product_display,1
26260,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26260.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26261,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26261.jpg,none,other,0
26262,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26262.jpg,none,other,0
26263,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26263.jpg,"orange:0.85, orange:0.75, bowl:0.46, dining table:0.43",other,4
26264,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26264.jpg,none,other,0
26265,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26265.jpg,cup:0.35,product_display,1
26266,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26266.jpg,bottle:0.81,product_display,1
26267,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26267.jpg,"bottle:0.87, dining table:0.35, bottle:0.33, bottle:0.29",product_display,4
26268,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26268.jpg,"bottle:0.56, bottle:0.51, bottle:0.41, bottle:0.26",product_display,4
26269,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26269.jpg,bottle:0.52,product_display,1
26270,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26270.jpg,"bottle:0.47, book:0.26",product_display,2
26271,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26271.jpg,person:0.79,lifestyle,1
26272,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26272.jpg,none,other,0
26273,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26273.jpg,none,other,0
26274,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26274.jpg,cell phone:0.32,other,1
26275,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26275.jpg,horse:0.88,other,1
26276,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26276.jpg,"book:0.34, cup:0.29",product_display,2
26277,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26277.jpg,none,other,0
26278,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26278.jpg,"bottle:0.67, vase:0.61",product_display,2
26279,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26279.jpg,cup:0.39,product_display,1
26280,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26280.jpg,"bottle:0.47, book:0.26",product_display,2
